Fold 1/5
Epoch: 02 | Time: 11m 19s
	Train Loss: 4.629 | Train Perplexity: 102.372
	Valid Loss: 4.423 | Valid Perplexity:  83.314
Epoch: 03 | Time: 11m 20s
	Train Loss: 4.625 | Train Perplexity: 102.052
	Valid Loss: 4.423 | Valid Perplexity:  83.365
Epoch: 04 | Time: 11m 22s
	Train Loss: 4.627 | Train Perplexity: 102.163
	Valid Loss: 4.424 | Valid Perplexity:  83.422
Epoch: 05 | Time: 11m 19s
	Train Loss: 4.627 | Train Perplexity: 102.202
	Valid Loss: 4.425 | Valid Perplexity:  83.508
Epoch: 06 | Time: 11m 18s
	Train Loss: 4.624 | Train Perplexity: 101.855
	Valid Loss: 4.425 | Valid Perplexity:  83.520
Early stopping triggered
------------------------------------------------------------
Test Loss: 4.972 | Test Perplexity: 144.331 | Total Time: 678.887971162796
Fold 5/5
Epoch: 01 | Time: 11m 19s
	Train Loss: 4.620 | Train Perplexity: 101.540
	Valid Loss: 4.436 | Valid Perplexity:  84.476
Epoch: 02 | Time: 11m 20s
	Train Loss: 4.620 | Train Perplexity: 101.457
	Valid Loss: 4.437 | Valid Perplexity:  84.481
Epoch: 03 | Time: 11m 19s
	Train Loss: 4.621 | Train Perplexity: 101.572
	Valid Loss: 4.437 | Valid Perplexity:  84.488
Epoch: 04 | Time: 11m 20s
	Train Loss: 4.619 | Train Perplexity: 101.426
	Valid Loss: 4.437 | Valid Perplexity:  84.496
Epoch: 05 | Time: 11m 20s
	Train Loss: 4.622 | Train Perplexity: 101.716
	Valid Loss: 4.437 | Valid Perplexity:  84.507
Epoch: 06 | Time: 11m 20s
	Train Loss: 4.621 | Train Perplexity: 101.597
	Valid Loss: 4.437 | Valid Perplexity:  84.508
Early stopping triggered
------------------------------------------------------------
Test Loss: 4.972 | Test Perplexity: 144.318 | Total Time: 680.4152719974518
K-Fold Cross Validation Results: [5.051161378860473, 4.955780416488648, 4.472598285675049, 4.4250814037323, 4.436842544555664]
Average Validation Loss: 4.668
